"learning toys",29,"B00ADZUNYK","Junior Ring (Multicolour)","Little's","225","159","8,190","4.4","Best seller",False
"learning toys",30,"B07KYMYBXN","Building Blocks for Kids with Wheel, 50 PCS Bag Packing, Best Gift Toy, Block Game for Kids,Boys,Children (34 Pcs & 16 Wheels)","FunBlast","499","368","2,680","3.8","Best seller",False
"learning toys",31,"B01MTNA7I0","Box for 4, 5 and 6 Year Old Kids Toys for Baby Boys and Girls, Learning and Educational Gift Pack of Toys, Games and Books (Multicolor)","Einstein","999","629","1,912","4.2","",False
"learning toys",32,"B07N64FCBV","2 in 1 Double Sided Multi Functional Digital Computing Learning Box,Montessori Early Teaching Educational Toy","WISHKEY","749","599","457","4.2","",False
"learning toys",33,"B009P0ZR8Q","Genius English Alphabets - Uppercase with Knob","Little","395","309","744","4.5","Best seller",False
"learning toys",34,"B00VVQRW2G","Giggles Stacking Cubes, Multi Color","Funskool","175","137","1,618","4.5","",False
"learning toys",35,"B009311WCC","Educational Aids P. Ltd. Alphabet Fun Abc Puzzle (Multi-Color, 52 Pieces)","Creative","","199","925","4.2","",False
"learning toys",36,"B08L23SWHC","21 Learning & Educational Mini Laptop Toy for Kids with Sound Effects (3+ yr)","BASICS","499","260","","","",False
"learning toys",37,"B08NT71DG1","3D Musical Full Touch Screen Smart Mobile Phone Learning Toy for Kids, Girls, Boys with Light, Music, Melodies & Talk Back Function - Assorted Colors","Shanaya","999","399","","","",False
"learning toys",38,"B084ZQB1CJ","3D Wooden Capital Alphabet Puzzles with Pictures for Children, Montessori Educational Learning Letters Puzzle Board Toy","WISHKEY","499","399","39","3.9","",False
"learning toys",39,"B084ZPXPZR","3D Wooden Capital Alphabet & Number Board Puzzles with Pictures,Set of 2 Montessori Educational Learning Letters Toy for Kids","WISHKEY","999","769","457","4.2","",False
"learning toys",40,"B089DCHRG3","Magnetic Letters & Numbers for Educating Kids in Fun -Educational Alphabet Refrigerator Magnets | Toy for Preschool Learning, Spelling, Counting (26 (Number & Sign))","Parteet","450","169","369","4.0","",False
"learning toys",41,"B06XJKFCKC","Realistic Sliceable 5 Pcs Fruits Cutting Play Toy Set, Can Be Cut in 2 Parts, Assorted","Toyshine","699","298","847","3.5","",False
"learning toys",42,"B084QHMQJ1","ANTIQUES 40 Water Animals Toy Set, Educational Learning Toys for Kids, Animal Figures (Medium)","JAY","","","","","",False
"learning toys",43,"B08MD6LTTN","Wooden Intellectual Geometric Shape Matching Five Column Blocks Early Educational & Learning Toys,Wooden Geometric Shape Sorter Puzzle","KidzBell","999","449","3","5.0","",False
"learning toys",44,"B0847NYKNS","Wooden Intellectual Geometric Shape Matching Five Column Blocks Educational & Learning Toys","WISHKEY","449","369","822","4.1","",False
"learning toys",45,"B07JVTWTHW","Wooden Alphabet and Number Puzzles Toys for Children, Montessori Digital Board Educational Learning Letters Puzzle Toy (Small Letters)","FunBlast","999","525","328","4.2","",False
"learning toys",46,"B08KY7JFTS","P1000 Educational Learning Computer Tablet for Boys and Girls Toy","NKB","699","299","1","2.0","",False
"learning toys",47,"B07FCQ3M7F","Wooden Digital Colourful Train - Educational Model Vehicle Toys , Vehicle Pattern 0 to 9 Number Learning, Educational Learning Toys for Kids|Boys|Children","FunBlast","699","559","930","4.2","",False
"learning toys",48,"B08JKG7R8T","10 Motivation Emoji Stamps for Kids Educational Toys Art and Craft for School Supplies Set of 10 Learning Toys for Kids|Boys|Girls","FunBlast","999","225","11","3.4","",False
"learning toys",49,"B009313LXU","Educational Aids P. Ltd. Fun With Words Puzzle (Multi-Color, 90 Pieces)","Creative","225","201","3,308","4.3","",False
"learning toys",50,"B08LG9JPX2","Mini English Child Touch Ipad/Computer Learning Education Machine/Kids Baby Toys/Educational Gift /Language Study Table","jesilo","848","499","2","1.0","",False
"learning toys",51,"B088TRCPS8","Wooden Shape Sorting Learning Clock with Bead Lace , Educational Digital Analog Numbers, Shape & Color Learning for Kids Blocks Puzzle Montessori Toys - Best Education Gifts","Trexee","799","209","3","2.6","",False
"learning toys",52,"B07J594GFV","Junior Abacus Skill Building Activity Set (3 Years +) to Help Learn Shapes, Numbers, Counting, Speech and Language, 8 mm & 10 mm Foam (Multicolor)","Imagimake","549","519","1,091","4.2","",False
"learning toys",53,"B08KZWRXLQ","Toys Magnetic Learning Alphabets Numbers - Educational Set for Kids (Capital Alphabets + Small Alphabets + Numbers)","Amitasha","799","399","2","3.0","",False
"learning toys",54,"B084LH6GTZ","ANTIQUES Wild Animal Learning Toy Figure Set for Kids","JAY","","","","","",False
"learning toys",55,"B08GJT32GF","Combo 3 in 1 - India Map, World Map and Solar System Floor Jigsaw Puzzle for Kids - Educational Toy and Learning Aid","GeoKraft","1,300","349.95","5","4.0","",False
"learning toys",56,"B07Z3CRZ61","Mart® 20 Activities & Games Fun Laptop Notebook Computer Toy for Kids","ESnipe","2,499","1,099","1,123","3.8","Best seller",False
"learning toys",57,"B07926HDM3","Dr. APJ Abdul Kalam Educational Toy for 8,9,10 Year Age: DIY Satellite, Activity Kit, Math Game, Learning Kit, Educational Kit, STEM Toy","WONDRBOX","1,049","599","31","3.3","",True
"learning toys",58,"B01HVNB8IQ","Pump it Move it Hydraulic Crane STEM STEAM Educational DIY Building Construction Activity Toy Game Kit, Easy Instructions, Experiment, Play, Learn Science Engineering Project 8+","Smartivity","1,299","849","475","4.3","Best seller",True
"learning toys",59,"B08GFWPYH7","Box - Play some Learning 7 in 1 Activity & Learning Kit for Children Age 3+ : Magical Colours Educational Activity Kit","Genius","1,499","999","","","",True
"learning toys",60,"B07QBFXC37","Box – Geography Game with World Map for Kids, Play Passport, Country Trump Cards and Travel Scrapbook Educational Learning Toy and Birthday Return Gift for Boys Girls 5-12 Years","World","999","901.10","157","4.2","",True
